"country","id","country_id"
Adelie Land,501,
Afghanistan,401,4
Alaska,303,840
Albania,201,8
Algeria,605,12
American Samoa,559,16
Andorra,202,20
Angola,603,24
Anguilla,301,660
Antigua and Barbuda,304,28
Antigua and Barbuda,305,28
Argentina,701,32
Armenia,216,51
Aruba,307,533
Ascension Island,608,
Australia,503,36
Austria,203,40
Azerbaijan,423,31
Azores,204,
Bahamas,308,44
Bahamas,309,44
Bahamas,311,44
Bahrain,408,48
Bangladesh,405,50
Barbados,314,52
Belarus,206,112
Belgium,205,56
Belize,312,84
Benin,610,204
Bermuda,310,60
Bhutan,410,64
Bolivia,720,68
Bosnia and Herzegovina,478,70
Botswana,611,72
Brazil,710,76
British Virgin Islands,378,92
Brunei Darussalam,508,96
Bulgaria,207,100
Burkina Faso,633,854
Burundi,609,108
Cambodia,514,116
Cambodia,515,116
Cameroon,613,120
Canada,316,124
Cape Verde,617,132
Cayman Islands,319,136
Central African Republic,612,140
Chad,670,148
Chile,725,152
China,412,156
China,413,156
China,414,156
Christmas Island,516,162
Cocos Islands,523,166
Colombia,730,170
Comoros,616,174
Comoros,620,174
Congo,615,178
Cook Islands,518,184
Costa Rica,321,188
Côte d'Ivoire,619,384
Croatia,238,191
Crozet Archipelago,618,
Cuba,323,192
Cyprus,209,196
Cyprus,210,196
Cyprus,212,196
Czech Republic,270,203
Denmark,219,208
Denmark,220,208
Djibouti,621,262
Dominica,325,212
Dominican Republic,327,214
DR Congo,676,
Ecuador,735,218
Egypt,622,818
El Salvador,359,222
Equatorial Guinea,631,226
Eritrea,625,232
Estonia,276,233
Ethiopia,624,231
Falkland Islands,740,234
Faroe Islands,231,
Fiji,520,242
Finland,230,246
France,226,250
France,227,250
France,228,250
French Polynesia,546,260
Gabonese Republic,626,266
Gambia,629,270
Georgia,213,268
Germany,211,276
Germany,218,276
Ghana,627,288
Gibraltar,236,292
Greece,237,300
Greece,239,300
Greece,240,300
Greece,241,300
Greenland,331,304
Grenada,330,308
Guadeloupe,329,312
Guatemala,332,320
Guiana,745,324
Guinea,632,324
Guinea-Bissau,630,624
Guyana,750,328
Haiti,336,332
Honduras,334,340
Hong Kong,477,344
